STATE_CODE,violation_count
TX,165742
OK,120463
OH,99427
PA,91712
WI,81903
CA,81515
MO,80644
LA,73507
IL,61091
NC,57779
MN,51854
IN,47388
MI,44729
PR,44044
NM,44013
IA,42392
VA,38716
NE,38325
NY,38073
KS,36677
CO,35165
CT,32815
FL,32438
NH,31758
MT,31594
ME,30710
NJ,28669
AR,26969
WA,25200
OR,24724
MD,23916
ID,22798
AZ,19494
VT,19208
AK,16417
WV,16368
GA,15630
KY,14552
SC,14408
TN,14306
MS,13680
SD,13296
UT,12615
MA,12394
RI,10313
NV,8393
DE,8198
ND,5106
AL,4571
WY,4331
AS,3647
HI,2426
MP,322
DC,244
PQ,127
VI,102
GU,83
ON,22
AP,14
AB,7
QC,4
